"ID","Latitude","Longitude","Nm_max"
"T8-1",-59.999999998491,-57.5,20
"T8-2",-60.2921841174597,-57.5,20
"T8-3",-60.5841580695002,-57.5,20
"T8-4",-60.8759242533244,-57.5,20
"T8-5",-61.1674850553032,-57.5,20
"T8-6",-61.4588428496541,-57.5,20
"T8-7",-61.7499999986268,-57.5,20
"T9-1",-59.999999998491,-57,20
"T9-2",-60.2921841174597,-57,20
"T9-3",-60.5841580695002,-57,20
"T9-4",-60.8759242533244,-57,20
"T9-5",-61.1674850553032,-57,20
"T9-6",-61.4588428496541,-57,20
"T9-7",-61.7499999986268,-57,20
"T10-1",-59.999999998491,-56.5,20
"T10-2",-60.2921841174597,-56.5,20
"T10-3",-60.5841580695002,-56.5,20
"T10-4",-60.8759242533244,-56.5,20
"T10-5",-61.1674850553032,-56.5,20
"T10-6",-61.4588428496541,-56.5,20
"T10-7",-61.7499999986268,-56.5,20
"T11-1",-59.999999998491,-55.75,20
"T11-2",-60.2921841174597,-55.75,20
"T11-3",-60.5841580695002,-55.75,20
"T11-4",-60.8759242533244,-55.75,20
"T11-5",-61.1674850553032,-55.75,20
"T11-6",-61.4588428496541,-55.75,20
"T11-7",-61.7499999986268,-55.75,20
"T12-1",-59.999999998491,-55,20
"T12-2",-60.2627534709374,-55,20
"T12-3",-60.5253367993794,-55,20
"T12-4",-60.787751729422,-55,20
"T12-5",-61.0499999985756,-55,20
"T13-1",-59.999999998491,-54.5,20
"T13-2",-60.2921841174597,-54.5,20
"T13-3",-60.5841580695002,-54.5,20
"T13-4",-60.8759242533244,-54.5,20
"T13-5",-61.1674850553032,-54.5,20
"T13-6",-61.4588428496541,-54.5,20
"T13-7",-61.7499999986268,-54.5,20
"T14-1",-59.999999998491,-54,20
"T14-2",-60.2627534709374,-54,20
"T14-3",-60.5253367993794,-54,20
"T14-4",-60.787751729422,-54,20
"T14-5",-61.0499999985756,-54,20
"T15-1",-62.9999999987096,-61.5,20
"T15-2",-63.1662254148288,-61.1676086778595,20
"T15-3",-63.332899391469,-60.8342624978221,20
"T15-4",-63.49999999874,-60.5,20
"T16-1",-62.9999999987096,-60.5,20
"T16-2",-63.1662254148288,-60.1676086778595,20
"T16-3",-63.332899391469,-59.8342624978221,20
"T16-4",-63.49999999874,-59.5,20
"T17-1",-62.7499999986939,-60,20
"T17-2",-62.9162253383071,-59.6676086348488,20
"T17-3",-63.0828992626299,-59.3342625498577,20
"T17-4",-63.249999998725,-59,20
"T18-1",-62.4999999986777,-59.5,20
"T18-2",-62.6662253042845,-59.1676085140189,20
"T18-3",-62.8328991770947,-58.8342625226305,20
"T18-4",-62.9999999987096,-58.5,20
"T19-1",-62.4999999986777,-58.5,20
"T19-2",-62.6662253042845,-58.1676085140189,20
"T19-3",-62.8328991770947,-57.8342625226305,20
"T19-4",-62.9999999987096,-57.5,20
"T20-1",-62.2499999986612,-58,20
"T20-2",-62.416225311766,-57.667608317172,20
"T20-3",-62.5828991338607,-57.3342624179526,20
"T20-4",-62.7499999986939,-57,20
"T21-1",-61.9999999986442,-57.4,20
"T21-2",-62.2495696783974,-56.9508445799538,20
"T21-3",-62.4999999986777,-56.5,20
"T22-1",-61.9999999986442,-56,20
"T22-2",-62.2501432558027,-56,20
"T22-3",-62.5001427636082,-56,20
"T22-4",-62.7499999986939,-56,20
"T12b-1",-61.2499999985906,-55,20
"T12b-2",-61.5000738038228,-55,20
"T12b-3",-61.7499999986268,-55,20
"T14b-1",-61.3333329985968,-54,20
"T14b-2",-61.5417176762228,-54,20
"T14b-3",-61.7499999986268,-54,20
"T23b-1",-61.9999999986442,-55,20
"T23b-2",-62.3335869892267,-55,20
"T23b-3",-62.6669191572827,-55,20
"T23b-4",-62.9999999987096,-55,20
"T24b-1",-61.9999999986442,-54,20
"T24b-2",-62.3335869892267,-54,20
"T24b-3",-62.6669191572827,-54,20
"T24b-4",-62.9999999987096,-54,20
"T25-1",-63.0833329987148,-62.25,20
"T25-2",-63.2771180087729,-61.834807067182,20
"T25-3",-63.4715710319962,-61.4181016984472,20
"T25-4",-63.6666669987498,-61,20
"T31-1",-64.0416669987713,-61.416667,20
"T31-2",-64.0499999987719,-61.21,20
"T32-1",-64.1999999987803,-61.65,20
"T32-2",-64.3399999987881,-61.36,20
"T33-1",-64.2999999987859,-61.97,20
"T33-2",-64.4499999987943,-61.68,20
"T34-1",-64.4499999987943,-62.258333,20
"T34-2",-64.4999999987969,-62.09,20
"T35-1",-64.5333329987988,-62.533333,20
"T35-2",-64.5499999987996,-62.5,20
"T6b-1",-59.999999998491,-61.5,20
"T6b-2",-60.211939149772,-61.0761694600032,20
"T6b-3",-60.4247279138676,-60.6506100230691,20
"T6b-4",-60.6383230056778,-60.2234012688878,20
"T6b-5",-60.8527260580481,-59.7945614995948,20
"T6b-6",-61.0678348922795,-59.364391011012,20
"T6b-7",-61.2836087922998,-58.9328409735196,20
"T6b-8",-61.499999998609,-58.5,20
"T5-1",-59.999999998491,-63.5,20
"T5-2",-60.2187721932906,-63.0625172526156,20
"T5-3",-60.4384936913221,-62.6230593290231,20
"T5-4",-60.6592060779008,-62.1816274686644,20
"T5-5",-60.8807559581137,-61.7385507369146,20
"T5-6",-61.1031892846055,-61.2936372438547,20
"T5-7",-61.3263577844582,-60.84735067544,20
"T5-8",-61.5502776887576,-60.3994460890281,20
"T5-9",-61.774842907457,-59.9503809368865,20
"T5-10",-61.9999999986442,-59.5,20
"T3-1",-59.999999998491,-65.5,20
"T3-2",-60.2209716367536,-65.0581207465473,20
"T3-3",-60.442935643783,-64.6141607086724,20
"T3-4",-60.6659636517091,-64.1681300503858,20
"T3-5",-60.8898507409373,-63.7203413558814,20
"T3-6",-61.1147135628201,-63.2706279135525,20
"T3-7",-61.3403117192861,-62.8194181141192,20
"T3-8",-61.5667725676336,-62.3665142294973,20
"T3-9",-61.7938575666727,-61.9123136724531,20
"T3-10",-62.0216645142962,-61.4567367090638,20
"T3-11",-62.2499999986612,-61,20
"T1-1",-59.999999998491,-67.5,20
"T1-2",-60.2239353703843,-67.0521948789125,20
"T1-3",-60.4489418969345,-66.6021216685696,20
"T1-4",-60.675140147393,-66.1497857146663,20
"T1-5",-60.902365309611,-65.6952812899584,20
"T1-6",-61.1304802412562,-65.2391026526617,20
"T1-7",-61.3596234112429,-64.7807944603276,20
"T1-8",-61.5895029408234,-64.3210383508821,20
"T1-9",-61.8203169383594,-63.8594305526581,20
"T1-10",-62.0518352333424,-63.3963389904397,20
"T1-11",-62.2839501841907,-62.9321581975681,20
"T1-12",-62.5167335759527,-62.4665927954069,20
"T1-13",-62.7499999986939,-62,20
"T26-1",-59.999999998491,-69.5,20
"T26-2",-60.2265698944527,-69.0469257015843,20
"T26-3",-60.4544687107486,-68.5910839989796,20
"T26-4",-60.6835398804195,-68.1329785783802,20
"T26-5",-60.9139454363787,-67.6721623207784,20
"T26-6",-61.1453112464611,-67.2094000708203,20
"T26-7",-61.3779949422853,-66.7440756429355,20
"T26-8",-61.6117118616073,-66.2766240532309,20
"T26-9",-61.8461534054174,-65.8077121849513,20
"T26-10",-62.0817707992053,-65.3365204962559,20
"T26-11",-62.3182156728144,-64.8636308588954,20
"T26-12",-62.5554129106394,-64.3892001653002,20
"T26-13",-62.793107817359,-63.9138165128382,20
"T26-14",-63.0316387817765,-63.4367854543867,20
"T26-15",-63.2706882731431,-62.9586894108331,20
"T26-16",-63.5101712312968,-62.4797017219979,20
"T26-17",-63.7499999987547,-62,20
"T28-1",-60.7499999985525,-70,20
"T28-2",-60.9761717072704,-69.5477226458203,20
"T28-3",-61.2036375808404,-69.0927427203447,20
"T28-4",-61.4322518142708,-68.6355573070859,20
"T28-5",-61.6621533546003,-68.175742324587,20
"T28-6",-61.8929982902085,-67.7140356461916,20
"T28-7",-62.1251004811431,-67.249866057408,20
"T28-8",-62.3581922781136,-66.7836522396714,20
"T28-9",-62.5920029667569,-66.3160303181811,20
"T28-10",-62.8269072690439,-65.8462526717702,20
"T28-11",-63.0625895789922,-65.374871905319,20
"T28-12",-63.2987968211318,-64.9024127525846,20
"T28-13",-63.5358650663184,-64.428325250007,20
"T28-14",-63.7734785976131,-63.9531110215854,20
"T28-15",-64.0115526953984,-63.4769434114009,20
"T28-16",-64.2499999987832,-63,20
"T30-1",-61.7499999986268,-70,20
"T30-2",-61.9739098651594,-69.5522470428074,20
"T30-3",-62.198905210251,-69.1021953303482,20
"T30-4",-62.4251052903486,-68.6498566778815,20
"T30-5",-62.6523433454283,-68.1953253449592,20
"T30-6",-62.8804712025399,-67.7391220160871,20
"T30-7",-63.1096360842566,-67.2807700207674,20
"T30-8",-63.3395313155046,-66.8209824644786,20
"T30-9",-63.5703625822892,-66.3593407477022,20
"T30-10",-63.8018914478672,-65.8962270645646,20
"T30-11",-64.034000913368,-65.4320580275762,20
"T30-12",-64.266768390908,-64.9665246979466,20
"T30-13",-64.4999999987969,-64.5,20
"T6-1",-60.6578949985452,-61.184211,20
"T6-2",-60.8747265705358,-60.7506137878593,20
"T6-3",-61.0923808021119,-60.315273271701,20
"T6-4",-61.3108702074291,-59.8783051583916,20
"T6-5",-61.5300931395444,-59.439877753819,20
"T6-6",-61.7499999986268,-59,20
"T4-1",-61.1842109985858,-62.131579,20
"T4-2",-61.3958384717698,-61.708344171526,20
"T4-3",-61.6082961556008,-61.2834451431052,20
"T4-4",-61.8215059825076,-60.8570539099254,20
"T4-5",-62.0354230822537,-60.429209379477,20
"T4-6",-62.2499999986612,-60,20
"T2-1",-61.7105259986241,-63.078947,20
"T2-2",-61.9069335030999,-62.6861641530303,20
"T2-3",-62.1040031302942,-62.2920129559637,20
"T2-4",-62.301705763305,-61.89659706211,20
"T2-5",-62.4999999986777,-61.5,20
"T25b-1",-62.2242649986594,-64.003676,20
"T25b-2",-62.4597662476255,-63.5541505028974,20
"T25b-3",-62.6961254722785,-63.1028585982144,20
"T25b-4",-62.9333329987054,-62.65,20
"T27-1",-62.7631579986947,-64.973684,20
"T27-2",-62.9838699628585,-64.5323193079081,20
"T27-3",-63.2054657955396,-64.0890948395979,20
"T27-4",-63.4278935287248,-63.6442801798734,20
"T27-5",-63.6510910003934,-63.197823825988,20
"T27-6",-63.8749999987619,-62.75,20
"T29-1",-63.2894739987273,-65.921053,20
"T29-2",-63.528176877644,-65.4437141410337,20
"T29-3",-63.7678794324468,-64.9643045300347,20
"T29-4",-64.0085141595339,-64.4830107328832,20
"T29-5",-64.2499999987832,-64,20
"T37-1",-62.7960149986968,-70,20
"T37-2",-63.0253783830824,-69.5520401064421,20
"T37-3",-63.2557661106722,-69.1019479555732,20
"T37-4",-63.4872616168088,-68.649818597205,20
"T37-5",-63.719700873852,-68.1957246107509,20
"T37-6",-63.9529812430994,-67.7401004380196,20
"T37-7",-64.1871480889532,-67.2826627210497,20
"T37-8",-64.4220102588536,-66.8239043038656,20
"T37-9",-64.6576162211125,-66.3636962611486,20
"T37-10",-64.8937889988182,-65.902302,20
"T39-1",-63.8800109987622,-70,20
"T39-2",-64.1126332714015,-69.5572513124845,20
"T39-3",-64.3462559934844,-69.112491288175,20
"T39-4",-64.5809278925896,-68.6658051006512,20
"T39-5",-64.816445369012,-68.2174534079021,20
"T39-6",-65.0528861108468,-67.767388966971,20
"T39-7",-65.2900327007516,-67.315934517574,20
"T39-8",-65.5279429992149,-66.8630795416057,20
"T39-9",-65.7664329988632,-66.409025,20
"T41-1",-65.0093849988242,-70,20
"T41-2",-65.2330120995285,-69.5861991849528,20
"T41-3",-65.4574883469804,-69.1708180991844,20
"T41-4",-65.6827578793009,-68.753955708911,20
"T41-5",-65.9087634046359,-68.3357135426464,20
"T41-6",-66.1354462086437,-67.9161957722339,20
"T41-7",-66.3627489988926,-67.495518,20
"T43-1",-66.1932679988843,-70,20
"T43-2",-66.4264521467924,-69.5817157782594,20
"T43-3",-66.6604148430239,-69.1620159526213,20
"T43-4",-66.895077998918,-68.740961,20
"T45-1",-67.4430309989435,-70,20
"T45-2",-67.6335264950232,-69.6697515619095,20
"T45-3",-67.8244946897992,-69.3386246239955,20
"T45-4",-68.0158999989697,-69.006655,20
"T45.1-1",-68.1753299989769,-68.730249,20
"T45.1-2",-68.3352491049456,-68.4530250069406,20
"T45.1-3",-68.4954649989912,-68.175124,20
"T47-1",-68.7729639990037,-70,20
"T47-2",-69.060139839579,-69.520461896681,20
"T47-3",-69.348275999029,-69.039209,20
"T36-1",-63.8379459987598,-66.908304,20
"T36-2",-64.0834627502317,-66.4208077973319,20
"T36-3",-64.330087011746,-65.9310807630294,20
"T36-4",-64.5777405483686,-65.4393029656821,20
"T36-5",-64.8263373261056,-64.9456480321715,20
"T36-6",-65.0757729988277,-64.450255,20
"T38-1",-64.4369929987935,-67.986553,20
"T38-2",-64.6868366730289,-67.4758024617295,20
"T38-3",-64.9378104587791,-66.9627050330113,20
"T38-4",-65.189833215398,-66.4474534140445,20
"T38-5",-65.4428009988468,-65.930196,20
"T40-1",-65.0029509988239,-69,20
"T40-2",-65.2124820575807,-68.594760854982,20
"T40-3",-65.4227736592452,-68.1880525418718,20
"T40-4",-65.6337758328252,-67.7799698699513,20
"T40-5",-65.8454372935189,-67.3706099937071,20
"T40-6",-66.0576909988776,-66.960031,20
"A-1",-64.8020869988133,-60.49137,20
"A-2",-64.8020964641636,-59.7453234741679,20
"A-3",-64.8020874728374,-58.9976367512327,20
"A-4",-64.8020961167014,-58.2488725562591,20
"A-5",-64.8020866029362,-57.4988084459334,20
"A-6",-64.8020956814443,-56.7483156667754,20
"A-7",-64.8020868748452,-55.9969328763941,20
"A-8",-64.8020951907988,-55.2457029167716,20
"A-9",-64.8020874653157,-54.4940619811032,20
"A-10",-64.8020946464873,-53.7430872363707,20
"A-11",-64.8020876469366,-52.9922490427943,20
"A-12",-64.8020941857019,-52.2425215609432,20
"A-13",-64.8020867838721,-51.4935458733412,20
"A-14",-64.8020939153652,-50.7460560162175,20
"A-15",-64.8020839988133,-50,20
"B-1",-64.4062589987919,-56.727742,20
"B-2",-64.4062641254638,-55.9813814085264,20
"B-3",-64.4062661539548,-55.2341924913329,20
"B-4",-64.4062610400639,-54.4862520170523,20
"B-5",-64.4062648027094,-53.7380792242824,20
"B-6",-64.406258247674,-52.9896150594094,20
"B-7",-64.4062632967423,-52.2414470441736,20
"B-8",-64.4062551814734,-51.4935161136292,20
"B-9",-64.4062617561367,-50.7463415201299,20
"B-10",-64.4062509987918,-50,20
"C-1",-64.0104249987697,-57.019428,20
"C-2",-64.0104305488555,-56.3187705583408,20
"C-3",-64.0104295617772,-55.6172684518796,20
"C-4",-64.0104283788875,-54.9151311101265,20
"C-5",-64.0104270311071,-54.2125681592957,20
"C-6",-64.0104255602999,-53.5097893548271,20
"C-7",-64.0104240250623,-52.8070045166894,20
"C-8",-64.0104225025784,-52.1044234668626,20
"C-9",-64.0104210866591,-51.4022559681464,20
"C-10",-64.0104198827568,-50.7007116608659,20
"C-11",-64.0104189987697,-50,20
"D-1",-63.6145929987468,-55.577594,20
"D-2",-63.6145984035873,-54.8811013093665,20
"D-3",-63.6145967579804,-54.1839915221398,20
"D-4",-63.614595166506,-53.4864721642805,20
"D-5",-63.6145935886391,-52.7887508760563,20
"D-6",-63.614591966296,-52.0910353571029,20
"D-7",-63.6145902255085,-51.3935333044008,20
"D-8",-63.6145882745829,-50.6964523502093,20
"D-9",-63.6145859987467,-50,20
"T6b2-1",-60.1384969985027,-60.249227,20
"T6b2-2",-60.3540811928652,-59.8058345108269,20
"T6b2-3",-60.5705575449373,-59.3606408587248,20
"T6b2-4",-60.7878146828732,-58.9137617904488,20
"T6b2-5",-61.0058718936791,-58.4652970000272,20
"T6b2-6",-61.2246059985888,-58.015352,20
"T6b3-1",-60.0000059984909,-59.51449,20
"T6b3-2",-60.1828684855239,-59.1376820758084,20
"T6b3-3",-60.3663161556696,-58.7596085930611,20
"T6b3-4",-60.5503243962205,-58.3803565636053,20
"T6b3-5",-60.7348589985513,-58,20
"T6b4-1",-60.000002998491,-58.493933,20
"T6b4-2",-60.1186377674619,-58.2472439233298,20
"T6b4-3",-60.237476998511,-58,20
"PB1-1",-59.999999998491,-52.75,20
"PB1-2",-60.3261372484325,-52.75,20
"PB1-3",-60.6520129747031,-52.75,20
"PB1-4",-60.9776305105915,-52.75,20
"PB1-5",-61.302993170294,-52.75,20
"PB1-6",-61.6281042492391,-52.75,20
"PB1-7",-61.9529670244068,-52.75,20
"PB1-8",-62.2775847546435,-52.75,20
"PB1-9",-62.601960680973,-52.75,20
"PB1-10",-62.9260980269027,-52.75,20
"PB1-11",-63.249999998725,-52.75,20
"PB2-1",-59.999999998491,-52,20
"PB2-2",-60.3261372484325,-52,20
"PB2-3",-60.6520129747031,-52,20
"PB2-4",-60.9776305105915,-52,20
"PB2-5",-61.302993170294,-52,20
"PB2-6",-61.6281042492391,-52,20
"PB2-7",-61.9529670244068,-52,20
"PB2-8",-62.2775847546435,-52,20
"PB2-9",-62.601960680973,-52,20
"PB2-10",-62.9260980269027,-52,20
"PB2-11",-63.249999998725,-52,20
"PB3-1",-59.999999998491,-51.25,20
"PB3-2",-60.3261372484325,-51.25,20
"PB3-3",-60.6520129747031,-51.25,20
"PB3-4",-60.9776305105915,-51.25,20
"PB3-5",-61.302993170294,-51.25,20
"PB3-6",-61.6281042492391,-51.25,20
"PB3-7",-61.9529670244068,-51.25,20
"PB3-8",-62.2775847546435,-51.25,20
"PB3-9",-62.601960680973,-51.25,20
"PB3-10",-62.9260980269027,-51.25,20
"PB3-11",-63.249999998725,-51.25,20
"PB4-1",-59.999999998491,-50.5,20
"PB4-2",-60.3261372484325,-50.5,20
"PB4-3",-60.6520129747031,-50.5,20
"PB4-4",-60.9776305105915,-50.5,20
"PB4-5",-61.302993170294,-50.5,20
"PB4-6",-61.6281042492391,-50.5,20
"PB4-7",-61.9529670244068,-50.5,20
"PB4-8",-62.2775847546435,-50.5,20
"PB4-9",-62.601960680973,-50.5,20
"PB4-10",-62.9260980269027,-50.5,20
"PB4-11",-63.249999998725,-50.5,20
