"ID","Latitude","Longitude"
"T8-1",-59.999999998491,-57.5
"T8-2",-60.2921841174597,-57.5
"T8-3",-60.5841580695002,-57.5
"T8-4",-60.8759242533244,-57.5
"T8-5",-61.1674850553032,-57.5
"T8-6",-61.4588428496541,-57.5
"T8-7",-61.7499999986268,-57.5
"T9-1",-59.999999998491,-57
"T9-2",-60.2921841174597,-57
"T9-3",-60.5841580695002,-57
"T9-4",-60.8759242533244,-57
"T9-5",-61.1674850553032,-57
"T9-6",-61.4588428496541,-57
"T9-7",-61.7499999986268,-57
"T10-1",-59.999999998491,-56.5
"T10-2",-60.2921841174597,-56.5
"T10-3",-60.5841580695002,-56.5
"T10-4",-60.8759242533244,-56.5
"T10-5",-61.1674850553032,-56.5
"T10-6",-61.4588428496541,-56.5
"T10-7",-61.7499999986268,-56.5
"T11-1",-59.999999998491,-55.75
"T11-2",-60.2921841174597,-55.75
"T11-3",-60.5841580695002,-55.75
"T11-4",-60.8759242533244,-55.75
"T11-5",-61.1674850553032,-55.75
"T11-6",-61.4588428496541,-55.75
"T11-7",-61.7499999986268,-55.75
"T12-1",-59.999999998491,-55
"T12-2",-60.2627534709374,-55
"T12-3",-60.5253367993794,-55
"T12-4",-60.787751729422,-55
"T12-5",-61.0499999985756,-55
"T13-1",-59.999999998491,-54.5
"T13-2",-60.2921841174597,-54.5
"T13-3",-60.5841580695002,-54.5
"T13-4",-60.8759242533244,-54.5
"T13-5",-61.1674850553032,-54.5
"T13-6",-61.4588428496541,-54.5
"T13-7",-61.7499999986268,-54.5
"T14-1",-59.999999998491,-54
"T14-2",-60.2627534709374,-54
"T14-3",-60.5253367993794,-54
"T14-4",-60.787751729422,-54
"T14-5",-61.0499999985756,-54
"T15-1",-62.9999999987096,-61.5
"T15-2",-63.1662254148288,-61.1676086778595
"T15-3",-63.332899391469,-60.8342624978221
"T15-4",-63.49999999874,-60.5
"T16-1",-62.9999999987096,-60.5
"T16-2",-63.1662254148288,-60.1676086778595
"T16-3",-63.332899391469,-59.8342624978221
"T16-4",-63.49999999874,-59.5
"T17-1",-62.7499999986939,-60
"T17-2",-62.9162253383071,-59.6676086348488
"T17-3",-63.0828992626299,-59.3342625498577
"T17-4",-63.249999998725,-59
"T18-1",-62.4999999986777,-59.5
"T18-2",-62.6662253042845,-59.1676085140189
"T18-3",-62.8328991770947,-58.8342625226305
"T18-4",-62.9999999987096,-58.5
"T19-1",-62.4999999986777,-58.5
"T19-2",-62.6662253042845,-58.1676085140189
"T19-3",-62.8328991770947,-57.8342625226305
"T19-4",-62.9999999987096,-57.5
"T20-1",-62.2499999986612,-58
"T20-2",-62.416225311766,-57.667608317172
"T20-3",-62.5828991338607,-57.3342624179526
"T20-4",-62.7499999986939,-57
"T21-1",-61.9999999986442,-57.4
"T21-2",-62.2495696783974,-56.9508445799538
"T21-3",-62.4999999986777,-56.5
"T22-1",-61.9999999986442,-56
"T22-2",-62.2501432558027,-56
"T22-3",-62.5001427636082,-56
"T22-4",-62.7499999986939,-56
"T12b-1",-61.2499999985906,-55
"T12b-2",-61.5000738038228,-55
"T12b-3",-61.7499999986268,-55
"T14b-1",-61.3333329985968,-54
"T14b-2",-61.5417176762228,-54
"T14b-3",-61.7499999986268,-54
"T23b-1",-61.9999999986442,-55
"T23b-2",-62.3335869892267,-55
"T23b-3",-62.6669191572827,-55
"T23b-4",-62.9999999987096,-55
"T24b-1",-61.9999999986442,-54
"T24b-2",-62.3335869892267,-54
"T24b-3",-62.6669191572827,-54
"T24b-4",-62.9999999987096,-54
"T25-1",-63.0833329987148,-62.25
"T25-2",-63.2771180087729,-61.834807067182
"T25-3",-63.4715710319962,-61.4181016984472
"T25-4",-63.6666669987498,-61
"T31-1",-64.0416669987713,-61.416667
"T31-2",-64.0499999987719,-61.21
"T32-1",-64.1999999987803,-61.65
"T32-2",-64.3399999987881,-61.36
"T33-1",-64.2999999987859,-61.97
"T33-2",-64.4499999987943,-61.68
"T34-1",-64.4499999987943,-62.258333
"T34-2",-64.4999999987969,-62.09
"T35-1",-64.5333329987988,-62.533333
"T35-2",-64.5499999987996,-62.5
"T6b-1",-59.999999998491,-61.5
"T6b-3",-60.4247279138676,-60.6506100230691
"T6b-4",-60.6383230056778,-60.2234012688878
"T6b-5",-60.8527260580481,-59.7945614995948
"T6b-6",-61.0678348922795,-59.364391011012
"T6b-7",-61.2836087922998,-58.9328409735196
"T6b-8",-61.499999998609,-58.5
"T5-1",-59.999999998491,-63.5
"T5-6",-61.1031892846055,-61.2936372438547
"T5-7",-61.3263577844582,-60.84735067544
"T5-8",-61.5502776887576,-60.3994460890281
"T5-9",-61.774842907457,-59.9503809368865
"T5-10",-61.9999999986442,-59.5
"T3-1",-59.999999998491,-65.5
"T3-8",-61.5667725676336,-62.3665142294973
"T3-9",-61.7938575666727,-61.9123136724531
"T3-10",-62.0216645142962,-61.4567367090638
"T3-11",-62.2499999986612,-61
"T1-1",-59.999999998491,-67.5
"T1-10",-62.0518352333424,-63.3963389904397
"T1-11",-62.2839501841907,-62.9321581975681
"T1-12",-62.5167335759527,-62.4665927954069
"T1-13",-62.7499999986939,-62
"T26-1",-59.999999998491,-69.5
"T26-12",-62.5554129106394,-64.3892001653002
"T26-13",-62.793107817359,-63.9138165128382
"T26-14",-63.0316387817765,-63.4367854543867
"T26-15",-63.2706882731431,-62.9586894108331
"T26-16",-63.5101712312968,-62.4797017219979
"T26-17",-63.7499999987547,-62
"T28-1",-60.7499999985525,-70
"T28-11",-63.0625895789922,-65.374871905319
"T28-12",-63.2987968211318,-64.9024127525846
"T28-13",-63.5358650663184,-64.428325250007
"T28-14",-63.7734785976131,-63.9531110215854
"T28-15",-64.0115526953984,-63.4769434114009
"T28-16",-64.2499999987832,-63
"T30-1",-61.7499999986268,-70
"T30-9",-63.5703625822892,-66.3593407477022
"T30-10",-63.8018914478672,-65.8962270645646
"T30-11",-64.034000913368,-65.4320580275762
"T30-12",-64.266768390908,-64.9665246979466
"T30-13",-64.4999999987969,-64.5
"T6-2",-60.8747265705358,-60.7506137878593
"T6-3",-61.0923808021119,-60.315273271701
"T6-4",-61.3108702074291,-59.8783051583916
"T6-5",-61.5300931395444,-59.439877753819
"T6-6",-61.7499999986268,-59
"T4-2",-61.3958384717698,-61.708344171526
"T4-3",-61.6082961556008,-61.2834451431052
"T4-4",-61.8215059825076,-60.8570539099254
"T4-5",-62.0354230822537,-60.429209379477
"T4-6",-62.2499999986612,-60
"T2-2",-61.9069335030999,-62.6861641530303
"T2-3",-62.1040031302942,-62.2920129559637
"T2-4",-62.301705763305,-61.89659706211
"T2-5",-62.4999999986777,-61.5
"T25b-2",-62.4597662476255,-63.5541505028974
"T25b-3",-62.6961254722785,-63.1028585982144
"T25b-4",-62.9333329987054,-62.65
"T27-2",-62.9838699628585,-64.5323193079081
"T27-3",-63.2054657955396,-64.0890948395979
"T27-4",-63.4278935287248,-63.6442801798734
"T27-5",-63.6510910003934,-63.197823825988
"T27-6",-63.8749999987619,-62.75
"T29-2",-63.528176877644,-65.4437141410337
"T29-3",-63.7678794324468,-64.9643045300347
"T29-4",-64.0085141595339,-64.4830107328832
"T29-5",-64.2499999987832,-64
"T37-1",-62.7960149986968,-70
"T37-7",-64.1871480889532,-67.2826627210497
"T37-8",-64.4220102588536,-66.8239043038656
"T37-9",-64.6576162211125,-66.3636962611486
"T37-10",-64.8937889988182,-65.902302
"T39-1",-63.8800109987622,-70
"T39-5",-64.816445369012,-68.2174534079021
"T39-6",-65.0528861108468,-67.767388966971
"T39-7",-65.2900327007516,-67.315934517574
"T39-8",-65.5279429992149,-66.8630795416057
"T39-9",-65.7664329988632,-66.409025
"T41-4",-65.6827578793009,-68.753955708911
"T41-5",-65.9087634046359,-68.3357135426464
"T41-6",-66.1354462086437,-67.9161957722339
"T41-7",-66.3627489988926,-67.495518
"T43-1",-66.1932679988843,-70
"T45-1",-67.4430309989435,-70
"T47-1",-68.7729639990037,-70
"T36-2",-64.0834627502317,-66.4208077973319
"T36-3",-64.330087011746,-65.9310807630294
"T36-4",-64.5777405483686,-65.4393029656821
"T36-5",-64.8263373261056,-64.9456480321715
"T36-6",-65.0757729988277,-64.450255
"T38-1",-64.4369929987935,-67.986553
"T38-2",-64.6868366730289,-67.4758024617295
"T38-3",-64.9378104587791,-66.9627050330113
"T38-4",-65.189833215398,-66.4474534140445
"T38-5",-65.4428009988468,-65.930196
"T40-1",-65.0029509988239,-69
"T40-2",-65.2124820575807,-68.594760854982
"T40-3",-65.4227736592452,-68.1880525418718
"T40-4",-65.6337758328252,-67.7799698699513
"T40-5",-65.8454372935189,-67.3706099937071
"T40-6",-66.0576909988776,-66.960031
"A-15",-64.8020839988133,-50
"T6b2-2",-60.3540811928652,-59.8058345108269
"T6b2-3",-60.5705575449373,-59.3606408587248
"T6b2-4",-60.7878146828732,-58.9137617904488
"T6b2-5",-61.0058718936791,-58.4652970000272
"T6b2-6",-61.2246059985888,-58.015352
"T6b3-1",-60.0000059984909,-59.51449
"T6b3-2",-60.1828684855239,-59.1376820758084
"T6b3-3",-60.3663161556696,-58.7596085930611
"T6b3-4",-60.5503243962205,-58.3803565636053
"T6b3-5",-60.7348589985513,-58
"T6b4-1",-60.000002998491,-58.493933
"T6b4-2",-60.1186377674619,-58.2472439233298
"T6b4-3",-60.237476998511,-58
"PB1-1",-59.999999998491,-52.75
"PB2-1",-59.999999998491,-52
"PB3-1",-59.999999998491,-51.25
"PB4-1",-59.999999998491,-50.5
"T6b-2",-60.3714534207058,-60.757157649582
"T5-2",-60.3944587928915,-62.7111083923649
"T5-3",-60.7920022650254,-61.9160310193518
"T3-2",-60.442935643783,-64.6141607086724
"T3-3",-60.8898507409373,-63.7203413558814
"T3-4",-61.3403117192861,-62.8194181141192
"T1-2",-60.4489418969345,-66.6021216685696
"T1-3",-60.902365309611,-65.6952812899584
"T1-4",-61.3596234112429,-64.7807944603276
"T1-5",-61.8203169383594,-63.8594305526581
"T26-2",-60.4544687107486,-68.5910839989796
"T26-3",-60.9139454363787,-67.6721623207784
"T26-4",-61.3779949422853,-66.7440756429355
"T26-5",-61.8461534054174,-65.8077121849513
"T26-6",-62.3182156728144,-64.8636308588954
"T28-2",-61.1751103490905,-69.1498456338706
"T28-3",-61.6046013992002,-68.2908194466729
"T28-4",-62.037913723549,-67.4242216731358
"T28-5",-62.4749931300803,-66.5500810400285
"T28-6",-62.9152252835632,-65.6696067329116
"T30-2",-62.198905210251,-69.1021953303482
"T30-3",-62.6523433454283,-68.1953253449592
"T30-4",-63.1096360842566,-67.2807700207674
"T6-1",-60.6578949985452,-61.184211
"T4-1",-61.1842109985858,-62.131579
"T2-1",-61.7105259986241,-63.078947
"T25b-1",-62.2242649986594,-64.003676
"T27-1",-62.7631579986947,-64.973684
"T29-1",-63.2894739987273,-65.921053
"T37-2",-63.2096477958038,-69.1920482804876
"T37-3",-63.6266165048256,-68.3775881646902
"T37-4",-64.0465561781472,-67.5573167108542
"T39-2",-64.3462559934844,-69.112491288175
"T41-1",-65.0093849988242,-70
"T41-2",-65.4574883469804,-69.1708180991844
"T43-2",-66.5433401146821,-69.3720360862563
"T43-3",-66.895077998918,-68.740961
"T45-2",-67.7289381254777,-69.5042549811971
"T45-3",-68.0158999989697,-69.006655
"T45.1-1",-68.1753299989769,-68.730249
"T45.1-2",-68.4954649989912,-68.175124
"T47-2",-69.348275999029,-69.039209
"T36-1",-63.8379459987598,-66.908304
"A-1",-64.8020869988133,-60.49137
"A-2",-64.8020874728374,-58.9976367512327
"A-3",-64.8020866029362,-57.4988084459334
"A-4",-64.8020868748452,-55.9969328763941
"A-5",-64.8020874653157,-54.4940619811032
"A-6",-64.8020876469366,-52.9922490427943
"A-7",-64.8020867838721,-51.4935458733412
"A-8",-64.8020839988133,-50
"B-1",-64.4062589987919,-56.727742
"B-2",-64.4062628313628,-55.3836414242235
"B-3",-64.4062650934039,-54.0374088540261
"B-4",-64.4062576787495,-52.6902867664473
"B-5",-64.406262380433,-51.3440696688293
"B-6",-64.4062509987918,-50
"C-1",-64.0104249987697,-57.019428
"C-2",-64.0104295617772,-55.6172684518796
"C-3",-64.0104270311071,-54.2125681592957
"C-4",-64.0104240250623,-52.8070045166894
"C-5",-64.0104210866591,-51.4022559681464
"C-6",-64.0104189987697,-50
"D-1",-63.6145929987468,-55.577594
"D-2",-63.6145967579804,-54.1839915221398
"D-3",-63.6145935886391,-52.7887508760563
"D-4",-63.6145902255085,-51.3935333044008
"D-5",-63.6145859987467,-50
"T6b2-1",-60.1384969985027,-60.249227
"PB1-2",-60.6520129747031,-52.75
"PB1-3",-61.302993170294,-52.75
"PB1-4",-61.9529670244068,-52.75
"PB1-5",-62.601960680973,-52.75
"PB1-6",-63.249999998725,-52.75
"PB2-2",-60.6520129747031,-52
"PB2-3",-61.302993170294,-52
"PB2-4",-61.9529670244068,-52
"PB2-5",-62.601960680973,-52
"PB2-6",-63.249999998725,-52
"PB3-2",-60.6520129747031,-51.25
"PB3-3",-61.302993170294,-51.25
"PB3-4",-61.9529670244068,-51.25
"PB3-5",-62.601960680973,-51.25
"PB3-6",-63.249999998725,-51.25
"PB4-2",-60.6520129747031,-50.5
"PB4-3",-61.302993170294,-50.5
"PB4-4",-61.9529670244068,-50.5
"PB4-5",-62.601960680973,-50.5
"PB4-6",-63.249999998725,-50.5
